UT,PY,text,com,dgr_int
2-S2.0-85047057910,2020,"overcoming transformational failures through policy mixes in the dynamics of technological innovation systems. the need for challenge-led innovation policies to address grand societal challenges is increasingly recognised at various policy levels. this raises questions how to overcome a variety of ‘failures’ prohibiting innovations to flourish. a key-line of thought in theory and policy emerged since the late 1990s on the role of system failures, next to more conventional market-failure thinking. more recently, scholarly work introduced the notion of ‘transformational failures’, which implies an even broader perspective on innovation failures as resting in challenges related to transforming entire systems of production and consumption. this paper combines the literature on technological innovation systems (tis) with literature on multi-level approaches to sustainability transitions to make a contribution to this debate. in particular, this paper argues that the current literature, so far, has failed to explore how different kinds of policies, or policy mixes, can overcome transformational failures. the paper uses a simulation model (i.e. a system dynamics model) and illustrative examples on electric vehicles to explore relations between transformational failures and (mixes of) policy interventions. a key conclusion is that, in particular in the case where an emerging tis is in a competitive relation with an incumbent system, overcoming transformational failures can be realised either by directly addressing the incumbent system, for instance by taking away its resources (which may be political challenging). alternatively, the model results show that a clever mix of policy interventions elsewhere in the system may lead to sufficient performance improvements of the emerging tis so that it can challenge the incumbent system on its own – albeit with a need for substantial additional resources.",1,7.0354024832911595
2-S2.0-85078879689,2020,"the innovation and industry dynamics of technology phase-out in sustainability transitions: insights from diversifying petroleum technology suppliers in norway. the urgency of a sustainability transition in the energy sector has led numerous authors to argue that it can and should be accelerated through active phase-out, disruption and destabilization of the undesirable established technologies. this paper starts out accepting the phase-out premise, but argues that a more nuanced view of ‘established’ technologies and incumbents is needed. technologies often involve many different sectors, and there may be a great but underappreciated potential to realize transitions through recombinations and diversification by upstream firms providing the components and material inputs for the undesirable technology. recombination and diversification can also dampen the possible negative effects of transitions such as loss of jobs and bankruptcy of firms that are not at the core of these technologies. by combining literature on transitions and phase-out, technological innovation systems, and diversification, we develop a framework of analysis that is used to study diversification processes in supplier firms in the norwegian offshore petroleum technology value chain. we find that these firms face a number of diversification challenges that are mostly non-technological. these findings are used to discuss how policies can better support diversification and how theories of sustainability transitions can take this perspective into account.",1,7.5059081784073705
2-S2.0-84877151015,2013,"a survey and review of approaches to study transitions. with the aim to achieve a sustainable future, the field of transition studies has recently received increasing attention. transition thinking and transition management have even been provided with a prominent spot in strategies and policies of a growing number of countries. however, though various approaches to study transitions (in particular, sustainability transitions) have been discussed and used in the past, an overview of these - with their advantages and disadvantages - has not been provided yet. furthermore, linkages between these approaches have also not been provided in a single overview.this article fills that gap in literature on transitions. it starts with the emergence of the ""transition"" concept and follows it to the notion of ""sustainability transitions"". next, the article reviews approaches to study transitions. thereafter, the paper provides some general criticism as well as strengths and contributions from transition research approaches to provide an impetus towards further research in this field. this paper discusses concepts, and pros and cons of, and ideas behind, approaches to study transitions. an single overview of approaches to study transitions is provided. general critique on all approaches consists of bias towards technology, developed world and producers and path dependency.",1,7.515763957329462
2-S2.0-85017540367,2017,"incumbents’ diversification and cross-sectorial energy industry dynamics. within the sustainability transitions literature, established, mature or incumbent firms have been stereotyped as ‘locked-in’ to socio-technical regimes. however, we believe regimes have been black-boxed, and few studies have explored incumbents’ responses to transition processes. this article aims to achieve an improved understanding of incumbents in established energy sectors and their extent of involvement in other (niche) energy sectors. to this avail, we analyze data from a first-of-its-kind survey of 133 incumbent firms in norway's two main energy sectors, namely oil/gas and hydropower. providing inter-temporal dimensions, our data covers incumbents’ diversification activities beyond their primary sector both in the past (cancelled activities), present (ongoing activity in secondary sectors) and future (ambitions of diversification), and also distinguishes between producers and product/service suppliers. by incorporating insights on firm diversification, our analysis sheds new light on the complex transformation processes associated with sustainability transitions. empirical results show considerable heterogeneity in incumbents’ responses to changing selection pressures, which can be explained by recognition that windows of opportunity are opening and some incumbents see potential to leverage their resources and capabilities to capture value in new niche energy sectors in both domestic and international markets.",1,7.956075080253618
2-S2.0-85081276340,2020,"the politics of technology decline: discursive struggles over coal phase-out in the uk. the decline of carbon intensive technologies is a key element in the ongoing energy transition and our attempts to tackle climate change. at the same time, our understanding of technology decline and of the associated policies and politics is still limited. this paper builds on the sustainability transitions perspective, a novel approach to analyze socio-technical transformation, including the complex interplay of policy and technology change. we study the decline of coal-fired power generation in the united kingdom from 2000 to 2017 by analyzing the discourse in the guardian. we find scientists and environmental ngos criticizing coal for climate and health reasons. government and incumbent businesses tried to re-legitimate coal but eventually, their resistance collapsed and coal was almost completely abandoned in just a few years. particularly devastating for coal were failed promises around carbon capture and storage, rapid diffusion of wind energy, and pressure from various policies. this study contributes to better understanding the contested nature of decline, and the interplay of discursive struggles, technology change, and public policy in sustainability transitions.",1,5.160049008555737
2-S2.0-84868194784,2012,"smart grids and the transformation of the electricity sector: ict firms as potential catalysts for sectoral change. the sustainability challenges associated with increasing demand and generation of electricity require a far-reaching transformation of the energy system. smart grid technologies are expected to play a major role in such sectoral transformation. while a growing body of literature is concerned with the dynamics and particularities of sectoral transformation, most contributions have focused on exogenous shocks or new technological developments as drivers of change. this paper complements the existing perspectives by exploring the role of actors as catalysts for transformation. within the field of smart grid, we study the transformative influence of ict firms on the energy sector in europe. more specifically, we analyze actor participation in 450 european smart grid projects between 2000 and 2011 as well as acquisitions in the field. we find that incumbent firms from the ict sector have gained influence and drive transformation through the creation of variety, in terms of technology, business models and value chains. as a strategic reaction, electricity sector incumbents have recently acquired many start-ups specialized in ict technology and thus expanded their competence base. we conclude that entrants from another sector can be important catalysts for sectoral transformation and should be analyzed more systematically in transition studies.",1,10.317950871974025
2-S2.0-85053733537,2019,"policies, actors and sustainability transition pathways: a study of the eu's energy policy mix. policies and politics are crucial elements of sustainability transitions. transition pathways unfold as a result of continuous struggles of actors over policy goals and instruments. taking a policy mix perspective, we study policies and policy preferences of key industry actors in the ongoing energy transition at the level of the european union. we introduce two central analytical dimensions for transition pathways: the degree of sustainability (here: renewable energy ambition) and the degree of disruption (here: whether to pursue centralized or decentralized energy system configurations). we find that the current eu energy policy mix is heterogeneous with respect to the issue of (de-)centralization, whereas most policies and actors express high or moderate ambitions for renewable energy. our paper makes three contributions. it demonstrates how actors and policy preferences can be explicitly included in the study of policy mixes. to the literature on transition pathways, we introduce sustainability as another key dimension in addition to disruption. lastly, we propose a novel methodology for analyzing the politics of transition pathways.",1,5.507468311916976
2-S2.0-85089082917,2020,"sustainability transitions in the agri-food sector: how ecology affects transition dynamics. in this paper, we study sustainability transitions in agriculture and highlight several elements that distinguish transition dynamics in this sector from those more frequently studied in the socio-technical transitions literature. our assumption is that ecological dimensions of agricultural systems affect transition dynamics. we illustrate this by focusing on two central characteristics related to biodiversity conservation: place-based embeddedness and the public goods’ character of biodiversity. a qualitative, multiple-case study was conducted on the dutch dairy sector by carrying out 22 in-depth interviews. we show how change in the agricultural sector is strongly geographically embedded and dependent on regime actors who need to be enabled and incentivized to partake in the transition process. due to the public goods’ character of biodiversity, there is a strong focus on the development of institutional novelty. dynamics of change show a specific fit between ecological conditions and innovation.",1,7.798410389116333
2-S2.0-84962022387,2016,"framing the sun: a discursive approach to understanding multi-dimensional interactions within socio-technical transitions through the case of solar electricity in ontario, canada. in response to calls to develop more politically-informed transition studies, a burgeoning literature on discourse-transition complementarities and niche-regime interactions has recently emerged. this paper draws these strands of literature together in order to develop a discursive approach that investigates the process by which actors use language to build or erode the legitimacy of socio-technical innovations and their niches within transition episodes. conceptualizing this process in terms of multi-dimensional discursive interactions, we adopt a discursive approach to further scrutinize: (1) the way in which actor groups depicted within the multi-level perspective struggle to frame innovations using narrative work and (2) how these narratives are formed through the ideational capacity of actors to link the content and context of an innovation. we demonstrate this approach by applying it to the case of pv diffusion in ontario, canada. our findings contribute to the development of a more politically-sensitive view of transitions as well as recent work on incumbent-challenger interactions and discourse-transition crossovers. beyond this, we corroborate and extend several observations in the transition literature, including the semi-coherent nature of the regime, the social construction of the landscape, and the prevalence of fit-and-conform orientations within niche empowerment strategies. however, findings also indicate that strategic orientations can be subtle and intermeshed, perhaps explaining why fit-and-conform orientations appear more prevalent.",1,11.220366239329493
2-S2.0-85062565179,2019,"conditions and intervention strategies for the deliberate acceleration of socio-technical transitions: lessons from a comparative multi-level analysis of two historical case studies in dutch and danish heating. policy-oriented transition frameworks such as strategic niche management, transition management, and technological innovation systems offer limited analytical traction on deliberately accelerated socio-technical transitions. using the multi-level perspective as guiding framework, we therefore inductively explore the political acceleration of socio-technical transitions by investigating two deliberately accelerated heating transitions: the transition from coal and oil to natural gas in the netherlands (1948–1973), and the transition from oil to district heating in denmark (1945–1990), to draw lessons about the conditions and intervention strategies that facilitate rapid socio-technical change. we find that both cases were characterised by weakened regimes, stabilised niche-innovations, focusing events, and consensus between policymakers and business actors. user resistance was also low in both cases, partly because of public policies. different focusing events in each case produced problem-driven versus opportunity-driven transition pathways; the former destabilised existing regimes but generated future-oriented uncertainty, while the latter facilitated rapid closure.",1,9.333927521620037
2-S2.0-84888023881,2014,"learning pathways for energy supply technologies: bridging between innovation studies and learning rates. understanding and supporting learning for different emerging low carbon energy supply technology fields is a key issue for policymakers, investors and researchers. a range of contrasting analytical approaches are available: energy system modelling using learning rates provides abstracted, quantitative and output oriented accounts, while innovation studies research offers contextualised, qualitative and process oriented accounts. drawing on research literature and expert consultation on learning for several different emerging energy supply technologies, this paper introduces a 'learning pathways' matrix to help bridge between the rich contextualisation of innovation studies and the systematic comparability of learning rates. the learning pathways matrix characterises technology fields by their relative orientation to radical or incremental innovation, and to concentrated or distributed organisation. a number of archetypal learning pathways are outlined to help learning rates analyses draw on innovation studies research, so as to better acknowledge the different niche origins and learning dynamics of emerging energy supply technologies. finally, a future research agenda is outlined, based on socio-technical learning scenarios for accelerated energy innovation.",1,8.610648668362755
2-S2.0-85087376923,2019,"blockchain energy: blockchain in future energy systems. the ongoing, in-depth transformation of the electricity sector towards increased use of alternative, renewable energy sources extends beyond a simple decentralisation drive in the electricity market. the transformation process is characterised by the interplay of old and new technologies from the energy sector as well as structural coupling with other sectors, such as the information and communications technology (ict), enabling the technology transfer as well as market entry by information technology (it) actors. blockchain-based technologies have the potential to play a key role in this transition by offering decentralised interfaces and systems as well as an alternative approach to the current organisation form of the energy market. this paper discusses the applicability and prospects for blockchain-based technologies in the energy sector, which are described using the term ""blockchain energy"". for the purposes of this study, blockchain energy encompasses all socio-technical and organisational configurations in the energy sector based on the utilisation of the blockchain principle for energy trading, information storage, and/or increased transparency of energy flows and energy services. in the following chapters, the authors present and discuss the current transformation in the electricity market, followed by a review of the different utilisation possibilities for blockchain technologies in the energy sector and a discussion of the barriers and potential for blockchain energy using a transition studies perspective. finally, the opportunities and risks of blockchain energy are discussed.",1,1.1504035625580948
2-S2.0-84860224992,2012,"legitimizing research, technology and innovation policies for transformative change: combining insights from innovation systems and multi-level perspective in a comprehensive 'failures' framework. the recent policy debates about orientating research, technology and innovation policy towards societal challenges, rather than economic growth objectives only, call for new lines of argumentation to systematically legitimize policy interventions. while the multi-level perspective on long-term transitions has attracted quite some interest over the past years as a framework for dealing with long-term processes of transformative change, but the innovation systems approach is still the dominant perspective for devising innovation policy. innovation systems approaches stress the importance of improving innovation capabilities of firms and the institutional settings to support them, but they are less suited for dealing with the strategic challenges of transforming systems of innovation, production and consumption, and thus with long-term challenges such as climate change or resource depletion. it is therefore suggested to consider insights from transition studies more prominently in a policy framework that is based on the innovation systems approach and the associated notion of 'failures'. we propose a comprehensive framework that allows legitimizing and devising policies for transformative change that draws on a combination of market failures, structural system failures and transformational system failures.",1,9.462680003169165
2-S2.0-85063341260,2019,"incumbent actors, guided search paths, and landmark projects in infra-system transitions: re-thinking strategic niche management with a case study of french tramway diffusion (1971–2016). this paper concerns the emergence and diffusion of radical innovations in the context of sustainability transitions. we confront the typical understanding in the strategic niche management framework with an in-depth longitudinal case study of french modern tramways (1971–2016), which represents a particular technology class: local infrastructure systems. the case confirms the relevance of existing snm-concepts, but also points to three pattern deviations: 1) incumbent actors from neighbouring regimes can play a leading role in the development of radical alternatives, 2) the early formulation of highly specific visions can effectively guide search paths (as opposed to a usual prescription about more open-ended approaches to foster innovative variety creation), and 3) particularly influential projects (which we call ‘landmark projects’) can decisively accelerate innovation developments. exploring a greater variety of diffusion and transition patterns (based on temporal interactions of causal mechanisms and varying roles played by different actors) is a fruitful way forward for sustainability transitions research.",1,8.039812334387815
2-S2.0-85047427899,2018,"agency in regime destabilization through the selection environment: the finnish food system's sustainability transition. the growing urgency of environmental threats combined with the slow pace of sustainability transitions has turned attention towards a better understanding of regime destabilization. focusing excessively on niche innovations could be incumbent regimes’ diversion and resistance strategy and could reinforce the ‘business as usual’ mindset instead of contributing to system-wide changes. historical cases of system transition have most often been used to understand the dynamics of regime destabilization. however, these insights have limitations when the focus is on ongoing transitions. moreover, it is argued that more attention should be paid to agency and actors. herein, regime destabilization is understood through an internally structured selection environment, implying that agency is assumed not only in variation at the niche level but also in the selection processes: (1) the selection environment is shaped by active and strategic actors and actor networks; (2) the selection environment is shaped by diverse discursive framings; and (3) the selection environment is shaped by various actors beyond the regime and even beyond the system in question. the argument is empirically tested in the case of the finnish food system by constructing prevailing storylines in the sustainability transition. four contrasting but partially overlapping storylines and their associated actor networks are identified. the empirical case supports the view that actors across all levels aim to influence the selection environment's formulation with their framing of the problem and the strategic response. thus, more attention must be paid to the content and diversity of different discursive framings in sustainability transitions.",1,8.721833375066844
2-S2.0-85086854993,2020,"a tale of two crises: covid-19 and climate. in response to the covid-19 pandemic, governments around the world are mobilizing unprecedented public resources to mitigate economic collapse. however, these new programs run the risk of paying insufficient attention to the multiple sustainability crises we face. climate change, in particular, threatens the very basis for continued human prosperity and requires an equal, if not greater, societal mobilization. in this policy brief, we argue that the response to the coronavirus outbreak also offers an opportunity to advance the climate agenda. indeed, given that we have scarce resources at our disposal, it is essential that we synergize such efforts. we propose that this can be accomplished in two primary ways: (1) harnessing the disruptive forces of the covid-19 pandemic to accelerate the decline of carbon-intensive industries, technologies, and practices, and (2) leveraging responses to drive low-carbon innovation. from these two strategies, we outline five principles of “sustainability transition policy” to serve as a guide during these challenging times.",1,6.985289829253289
2-S2.0-85040068583,2018,"structure reconsidered: towards new foundations of explanatory transitions theory. the most prominent framework for studying socio-technical transitions to date is the multi-level perspective (mlp). while appreciated for its flexibility and usefulness for studying socio-technical transitions it has not been without its critics. in this paper we focus on the ontological foundations of the mlp and its (in)ability to explain transitions and how they come about. the purpose is to initiate development of an explanatory theory for socio-technical transitions, by carrying out an immanent critique of the ontological foundations of the mlp together with a methodological critique. we show that the ontological foundations of the mlp to a large extent inhibits explanatory capacity. the argument is fourfold: since structure and agency are understood as inseparable, (i) the causal influence of material properties are undervalued, and (ii) different degrees of structural constraint and freedom of actors are ignored. as a consequence (iii) transitions are reduced to shifts in the maturity and spread of socio-cognitive rules, without analysis of systemic change. moreover, (iv) mechanisms are reduced to recurring patterns of events which cannot explain why some transitions fail while others succeed. to remedy these limitations we outline alternative critical realist foundations for transitions theory.",1,9.311488432239315
2-S2.0-85059850488,2019,"mapping the winds of whole system reconfiguration: analysing low-carbon transformations across production, distribution and consumption in the uk electricity system (1990–2016). a founding assumption and aim of the sociotechnical approach to sustainability transitions was the need to develop frameworks to understand major systemic changes that would be required across the entire chain of production, distribution and consumption. however, most studies have so far focused on partial aspects of the entire chain, often a single, radical technology innovation. therefore, since the founding ambition remains largely unrealized, the paper aims to contribute to transition scholarship by developing an approach for ‘whole-system’ analysis. as a second contribution, we argue that this broader unit of analysis calls for greater attention to the architecture of the system in terms of how constituent elements are linked to one another. to elaborate this point, we develop a reconfiguration approach, based on conceptual extensions to the multi-level perspective, analysing both techno-economic developments and socio-institutional developments. this approach draws attention to the multiplicity and interdependencies of change processes that constitute transitions, including incremental change, component substitution, symbiotic add-ons, knock-on effects and changes to the system architecture. a third contribution is to make an empirical whole-system analysis of the low-carbon reconfiguration of the uk electricity system between 1990 and 2016. this is important and timely, because it allows socio-technical transition approaches to ‘speak’ at the same empirical whole-system level that dominates current long-term, low-carbon (modelling) analysis and associated political and public debate. this consequently enables a demonstration of the added value of the whole-system reconfiguration approach. our findings show that early reconfiguration of the uk electricity system was dominated by modular changes within the generation and consumption subsystems; and more recently, how these earlier changes have triggered a new focus on the whole system architecture, anticipating deeper changes to the linkages between the generation, network and consumption subsystems.",1,5.206983840338623
2-S2.0-84959420403,2016,"the enactment of socio-technical transition pathways: a reformulated typology and a comparative multi-level analysis of the german and uk low-carbon electricity transitions (1990-2014). this paper aims to make two contributions to the sustainability transitions literature, in particular the geels and schot (2007. res. policy 36(3), 399) transition pathways typology. first, it reformulates and differentiates the typology through the lens of endogenous enactment, identifying the main patterns for actors, formal institutions, and technologies. second, it suggests that transitions may shift between pathways, depending on struggles over technology deployment and institutions. both contributions are demonstrated with a comparative analysis of unfolding low-carbon electricity transitions in germany and the uk between 1990-2014. the analysis shows that germany is on a substitution pathway, enacted by new entrants deploying small-scale renewable electricity technologies (rets), while the uk is on a transformation pathway, enacted by incumbent actors deploying large-scale rets. further analysis shows that the german transition has recently shifted from a 'stretch-and-transform' substitution pathway to a 'fit-and-conform' pathway, because of a fightback from utilities and altered institutions. it also shows that the uk transition moved from moderate to substantial incumbent reorientation, as government policies became stronger. recent policy changes, however, substantially downscaled uk renewables support, which is likely to shift the transition back to weaker reorientation.",1,3.851367032306787
2-S2.0-34548304566,2007,"analysing the breakthrough of rock 'n' roll (1930-1970) multi-regime interaction and reconfiguration in the multi-level perspective. the breakthrough of rock 'n' roll was part of broader transformations in the american music industry, involving changes in music instruments, music recording technology, audiences, radio programming and music styles. these transformations will be analysed as sociotechnical transition, using the multi-level perspective. one characteristic of the case is interactions between multiple regimes: radio and recording. another characteristic is the presence of strong cultural components, with rock 'n' roll as proxy. these characteristics lead to theoretical adjustments in the multi-level perspective. further analysis also suggests a particular transition path of reconfiguration, in which multiple niche-innovations cumulatively transform the regime.",1,7.427083736803221
2-S2.0-80855130332,2011,"a system dynamics model of socio-technical regime transitions. formal modelling of sociotechnical transitions has so far focused either on reproducing known historical case studies or on generic transition models that encompass some of the characteristics of the underlying processes. this article presents a model that captures the unfolding dynamics of an existing technological regime and the emerging niches as they compete and respond to landscape pressures. the theoretical basis is the ""multi-level perspective"" (mlp) framework. the development of new technologies in niches is endogenous and stochastic. model analysis can be seen as a test of the dynamic consistency of the mlp substitution pathway. simulation results are consistent with what mlp theory suggests and raise relevant questions and insights for future modelling work on transition pathways and theory development.",1,8.37935486807599
